2025-04-25 21:01:49.402 +07 | ERROR    | Line   71 (video_processor.py): Download failed: [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2025-04-25 21:01:50.347 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 21:01:52.070 +07 | ERROR    | Line   71 (video_processor.py): Download failed: [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2025-04-25 21:01:52.072 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2025-04-25 21:07:48.085 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 21:07:59.624 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 21:07:59.625 +07 | ERROR    | Line   75 (video_processor.py): Download failed: local variable 'ydl_opts' referenced before assignment
2025-04-25 21:07:59.626 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] local variable 'ydl_opts' referenced before assignment
2025-04-25 21:19:44.109 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 21:19:59.108 +07 | INFO     | Line   56 (video_processor.py): 📥 Downloading YouTube video: https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 21:20:02.421 +07 | ERROR    | Line   80 (video_processor.py): Download failed: [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
